run,cv,pub,priv,trial_id,timestamp,cv_cost,proxy_public,proxy_private,t_low,t_high,param_scale_pos_weight,param_num_leaves,param_lr,param_n_est,param_min_child,param_subsample,param_colsample,param_alpha,param_beta
4.0,4456150.0,2219800.0,2230100.0,,,,,,,,,,,,,,,,
3.0,4448250.0,2220150.0,2224500.0,,,,,,,,,,,,,,,,
0.0,4481300.0,2228700.0,2247350.0,,,,,,,,,,,,,,,,
1.0,4475650.0,2232100.0,2242900.0,,,,,,,,,,,,,,,,
2.0,4521900.0,2250500.0,2269100.0,,,,,,,,,,,,,,,,
,,,,1.0,2025-12-26T12:58:53.747470,4362850.0,2179300.0,2183150.0,0.18,0.66,2.0,31.0,0.01,1500.0,20.0,,,,
,,,,2.0,2025-12-26T12:59:31.296380,4374650.0,2186000.0,2186250.0,0.19,0.67,2.0,31.0,0.02,1500.0,20.0,,,,
,,,,3.0,2025-12-26T13:00:06.393634,4393150.0,2192550.0,2198000.0,0.18,0.68,2.0,31.0,0.03,1500.0,20.0,,,,
,,,,4.0,2025-12-26T13:00:39.832941,4425400.0,2212400.0,2211000.0,0.16,0.66,2.0,31.0,0.05,1500.0,20.0,,,,
,,,,5.0,2025-12-26T13:01:30.411276,4352600.0,2164350.0,2188050.0,0.18,0.68,2.0,63.0,0.01,1500.0,20.0,,,,
,,,,6.0,2025-12-26T13:02:14.960438,4366650.0,2177100.0,2189400.0,0.16,0.67,2.0,63.0,0.02,1500.0,20.0,,,,
,,,,7.0,2025-12-26T13:02:57.085308,4414500.0,2203400.0,2205050.0,0.18,0.6900000000000001,2.0,63.0,0.03,1500.0,20.0,,,,
,,,,8.0,2025-12-26T13:03:38.319295,4441500.0,2210100.0,2229750.0,0.13,0.67,2.0,63.0,0.05,1500.0,20.0,,,,
,,,,9.0,2025-12-26T13:04:43.444741,4364150.0,2176900.0,2186550.0,0.16,0.66,2.0,127.0,0.01,1500.0,20.0,,,,
,,,,10.0,2025-12-26T13:05:42.604991,4397800.0,2196250.0,2200550.0,0.14,0.67,2.0,127.0,0.02,1500.0,20.0,,,,
,,,,11.0,2025-12-26T13:06:38.383226,4424400.0,2212550.0,2211100.0,0.12,0.68,2.0,127.0,0.03,1500.0,20.0,,,,
,,,,12.0,2025-12-26T13:07:31.919660,4496050.0,2243850.0,2251600.0,0.09,0.6900000000000001,2.0,127.0,0.05,1500.0,20.0,,,,
,,,,13.0,2025-12-26T13:08:13.029101,4363700.0,2178250.0,2182950.0,0.23,0.71,2.5,31.0,0.01,1500.0,20.0,,,,
,,,,14.0,2025-12-26T13:08:49.917801,4375650.0,2181600.0,2193350.0,0.22,0.71,2.5,31.0,0.02,1500.0,20.0,,,,
,,,,15.0,2025-12-26T13:09:25.697514,4392550.0,2193750.0,2197150.0,0.21,0.71,2.5,31.0,0.03,1500.0,20.0,,,,
,,,,16.0,2025-12-26T13:09:58.614854,4421750.0,2209050.0,2206900.0,0.19,0.72,2.5,31.0,0.05,1500.0,20.0,,,,
,,,,17.0,2025-12-26T13:10:48.014605,4358100.0,2171950.0,2184250.0,0.22,0.7000000000000001,2.5,63.0,0.01,1500.0,20.0,,,,
,,,,18.0,2025-12-26T13:11:33.010096,4376400.0,2177950.0,2192250.0,0.18,0.7000000000000001,2.5,63.0,0.02,1500.0,20.0,,,,
,,,,19.0,2025-12-26T13:12:15.485287,4422450.0,2210600.0,2208200.0,0.17,0.7000000000000001,2.5,63.0,0.03,1500.0,20.0,,,,
,,,,20.0,2025-12-26T13:12:55.011550,4451050.0,2223800.0,2226650.0,0.15,0.73,2.5,63.0,0.05,1500.0,20.0,,,,
,,,,21.0,2025-12-26T13:14:00.282666,4370100.0,2182750.0,2183100.0,0.17,0.71,2.5,127.0,0.01,1500.0,20.0,,,,
,,,,22.0,2025-12-26T13:14:58.526755,4401400.0,2194750.0,2206650.0,0.16,0.6900000000000001,2.5,127.0,0.02,1500.0,20.0,,,,
,,,,23.0,2025-12-26T13:15:53.925698,4446350.0,2222000.0,2223550.0,0.13,0.7000000000000001,2.5,127.0,0.03,1500.0,20.0,,,,
,,,,24.0,2025-12-26T13:16:46.376078,4512500.0,2260550.0,2250500.0,0.1,0.6900000000000001,2.5,127.0,0.05,1500.0,20.0,,,,
