iter	Logloss
0	0.6765613274
1	0.6611583035
2	0.6469606191
3	0.6338644437
4	0.6217972469
5	0.6105087493
6	0.6004542158
7	0.5906832908
8	0.5811144727
9	0.5720174729
10	0.564348022
11	0.5568509022
12	0.5503798235
13	0.5432677026
14	0.5376553008
15	0.5327164729
16	0.5272326315
17	0.5222374891
18	0.5175308426
19	0.5132104297
20	0.5092952979
21	0.5054262706
22	0.5013568078
23	0.4975361272
24	0.4944360414
25	0.4915659207
26	0.4886022119
27	0.4858187544
28	0.4832751298
29	0.4809255361
30	0.4785427039
31	0.47625666
32	0.4739206292
33	0.4720355882
34	0.4701687913
35	0.4682332212
36	0.4664441999
37	0.4648279475
38	0.4628999209
39	0.4612782003
40	0.4596555697
41	0.4583130496
42	0.4570879021
43	0.4557844566
44	0.454474268
45	0.4532704682
46	0.4521030102
47	0.4509636669
48	0.4498517975
49	0.448871158
50	0.4478925359
51	0.4469184403
52	0.4460218596
53	0.4451830806
54	0.4444326276
55	0.4436427985
56	0.4428277688
57	0.4420304344
58	0.4413196578
59	0.4406648113
60	0.4399323952
61	0.4392642721
62	0.4386779286
63	0.4380097957
64	0.437441797
65	0.4368806751
66	0.4362884226
67	0.4357103553
68	0.4352500859
69	0.4347260435
70	0.4342609911
71	0.4336792347
72	0.4331515757
73	0.4325448389
74	0.4321589332
75	0.4316762221
76	0.4311838772
77	0.4307862214
78	0.4303041069
79	0.4297532609
80	0.4292930062
81	0.4289455049
82	0.4286757329
83	0.4283269866
84	0.4278901215
85	0.4274956055
86	0.4272261091
87	0.4269722027
88	0.4266581783
89	0.4263207809
90	0.4260446332
91	0.4257887592
92	0.4255454895
93	0.4251647431
94	0.4248518281
95	0.4245629331
96	0.424190582
97	0.4239209095
98	0.4236326717
99	0.4233545501
100	0.4230349138
101	0.4227188546
102	0.4224077248
103	0.422162021
104	0.4219744011
105	0.4217025714
106	0.4214592584
107	0.421223332
108	0.4210659384
109	0.420865541
110	0.4205936604
111	0.4204154869
112	0.4201300676
113	0.419919146
114	0.4197002625
115	0.4195000124
116	0.4192552753
117	0.4191092915
118	0.4188687862
119	0.4186472247
120	0.4184707499
121	0.4181942948
122	0.4180116814
123	0.4178247963
124	0.4176277092
125	0.4174821189
126	0.4172995201
127	0.4171483626
128	0.416966505
129	0.4168267796
130	0.4166637703
131	0.4165165095
132	0.4164105644
133	0.416286574
134	0.4161085667
135	0.4159678685
136	0.415842698
137	0.4157135079
138	0.4155357062
139	0.4154255026
140	0.4152579881
141	0.4151381209
142	0.4150163078
143	0.4148033883
144	0.414687819
145	0.4145187269
146	0.4143291305
147	0.4141601066
148	0.4140386768
149	0.4139125015
150	0.413788319
151	0.4136472266
152	0.4135348096
153	0.4134500815
154	0.4133320768
155	0.4131971114
156	0.4130406732
157	0.4129095201
158	0.4127613336
159	0.4125946846
160	0.412474609
161	0.4123764924
162	0.4122367172
163	0.4120603426
164	0.4119092733
165	0.4117720606
166	0.4116492261
167	0.4115281535
168	0.4114094124
169	0.4113208548
170	0.4112107311
171	0.4110869394
172	0.410976798
173	0.4108428402
