iter	Passed	Remaining
0	27	13609
1	52	13055
2	77	12811
3	101	12596
4	127	12614
5	151	12468
6	176	12438
7	203	12516
8	228	12458
9	253	12441
10	278	12372
11	303	12332
12	329	12335
13	353	12275
14	380	12302
15	403	12218
16	428	12179
17	452	12117
18	477	12091
19	504	12113
20	527	12034
21	555	12063
22	580	12045
23	607	12049
24	634	12061
25	659	12026
26	684	11986
27	711	11986
28	736	11959
29	760	11918
30	785	11878
31	810	11849
32	836	11836
33	861	11812
34	887	11793
35	911	11751
36	936	11718
37	961	11691
38	987	11669
39	1013	11652
40	1042	11670
41	1067	11643
42	1090	11589
43	1116	11567
44	1142	11547
45	1167	11524
46	1193	11505
47	1220	11492
48	1247	11479
49	1275	11483
50	1300	11446
51	1327	11432
52	1351	11398
53	1376	11367
54	1400	11333
55	1424	11297
56	1451	11282
57	1475	11245
58	1499	11210
59	1524	11181
60	1549	11149
61	1573	11116
62	1599	11091
63	1624	11067
64	1648	11035
65	1675	11016
66	1702	11004
67	1727	10975
68	1753	10954
69	1779	10932
70	1807	10923
71	1830	10884
72	1854	10849
73	1881	10828
74	1906	10805
75	1934	10791
76	1957	10755
77	1983	10730
78	2008	10701
79	2032	10669
80	2055	10632
81	2081	10612
82	2107	10586
83	2133	10563
84	2158	10538
85	2184	10517
86	2210	10495
87	2233	10455
88	2258	10428
89	2281	10395
90	2307	10373
91	2331	10341
92	2356	10311
93	2380	10281
94	2403	10248
95	2429	10224
96	2453	10191
97	2476	10160
98	2499	10124
99	2525	10103
100	2550	10076
101	2574	10045
102	2596	10006
103	2620	9977
104	2647	9958
105	2672	9932
106	2700	9917
107	2728	9902
108	2752	9873
109	2776	9844
110	2804	9827
111	2828	9800
112	2852	9769
113	2878	9746
114	2902	9717
115	2927	9690
116	2949	9655
117	2974	9628
118	2996	9595
119	3020	9564
120	3044	9536
121	3069	9509
122	3095	9486
123	3120	9463
124	3146	9438
125	3171	9415
126	3198	9393
127	3223	9367
128	3245	9332
129	3269	9305
130	3294	9279
131	3319	9254
132	3345	9232
133	3372	9211
134	3398	9188
135	3422	9161
136	3448	9136
137	3471	9105
138	3494	9074
139	3520	9051
140	3546	9028
141	3571	9005
142	3597	8980
143	3622	8955
144	3646	8928
145	3669	8897
146	3695	8874
147	3720	8848
148	3743	8817
149	3769	8795
150	3794	8769
151	3819	8744
152	3847	8725
153	3872	8699
154	3896	8672
155	3920	8644
156	3944	8618
157	3969	8591
158	3997	8573
159	4022	8548
160	4046	8519
161	4071	8494
162	4097	8470
163	4122	8446
164	4147	8420
165	4172	8396
166	4200	8374
167	4225	8350
168	4250	8325
169	4274	8298
170	4300	8273
171	4326	8250
172	4351	8225
173	4379	8204
174	4403	8177
175	4427	8149
176	4450	8121
177	4476	8098
178	4503	8076
179	4530	8054
180	4557	8031
181	4581	8005
182	4606	7979
183	4631	7954
184	4656	7928
185	4683	7906
186	4708	7881
187	4732	7854
188	4756	7827
189	4776	7793
190	4802	7770
191	4825	7740
192	4850	7715
193	4874	7688
194	4899	7662
195	4920	7632
196	4946	7608
197	4970	7580
198	4994	7554
199	5019	7528
200	5044	7503
201	5070	7480
202	5093	7451
203	5118	7426
204	5144	7402
205	5167	7375
206	5191	7348
207	5217	7324
208	5240	7296
209	5267	7274
210	5291	7248
211	5319	7226
212	5340	7196
213	5366	7172
214	5391	7147
215	5419	7125
216	5445	7101
217	5469	7075
218	5493	7048
219	5523	7029
220	5546	7002
221	5570	6975
222	5593	6948
223	5620	6925
224	5645	6899
225	5670	6874
226	5694	6847
227	5720	6824
228	5744	6797
229	5768	6771
230	5792	6745
231	5816	6718
232	5839	6691
233	5869	6672
234	5895	6647
235	5922	6624
236	5948	6601
237	5975	6577
238	6000	6553
239	6023	6525
240	6048	6499
241	6074	6475
242	6101	6453
243	6128	6429
244	6153	6404
245	6178	6379
246	6203	6353
247	6228	6329
248	6254	6304
249	6279	6279
250	6304	6253
251	6328	6227
252	6353	6202
253	6376	6175
254	6400	6149
255	6421	6120
256	6447	6096
257	6471	6070
258	6496	6045
259	6523	6021
260	6547	5995
261	6572	5970
262	6596	5944
263	6619	5917
264	6647	5895
265	6671	5868
266	6697	5844
267	6719	5816
268	6742	5790
269	6768	5765
270	6792	5739
271	6813	5711
272	6836	5684
273	6861	5659
274	6886	5634
275	6910	5608
276	6935	5583
277	6958	5556
278	6982	5530
279	7008	5506
280	7032	5480
281	7057	5455
282	7080	5428
283	7107	5405
284	7133	5381
285	7155	5354
286	7182	5330
287	7208	5305
288	7232	5280
289	7265	5261
290	7288	5234
291	7312	5208
292	7338	5184
293	7362	5159
294	7388	5134
295	7413	5109
296	7437	5083
297	7463	5058
298	7489	5034
299	7515	5010
300	7540	4985
301	7563	4958
302	7591	4935
303	7615	4910
304	7640	4884
305	7665	4859
306	7689	4834
307	7713	4808
308	7739	4783
309	7765	4759
310	7788	4733
311	7812	4707
312	7836	4682
313	7862	4657
314	7887	4632
315	7912	4607
316	7936	4581
317	7959	4555
318	7984	4530
319	8010	4505
320	8036	4481
321	8061	4456
322	8085	4430
323	8109	4405
324	8134	4379
325	8160	4355
326	8183	4329
327	8206	4303
328	8230	4277
329	8254	4252
330	8279	4227
331	8306	4203
332	8331	4178
333	8354	4152
334	8379	4127
335	8406	4102
336	8430	4077
337	8456	4053
338	8481	4028
339	8505	4002
340	8530	3977
341	8557	3953
342	8581	3928
343	8605	3902
344	8631	3878
345	8653	3851
346	8682	3828
347	8709	3804
348	8736	3780
349	8763	3755
350	8786	3730
351	8810	3704
352	8835	3679
353	8859	3653
354	8883	3628
355	8907	3602
356	8932	3578
357	8957	3552
358	8981	3527
359	9008	3503
360	9031	3477
361	9056	3452
362	9082	3427
363	9105	3402
364	9131	3377
365	9158	3353
366	9185	3328
367	9210	3303
368	9235	3278
369	9262	3254
370	9286	3228
371	9310	3203
372	9339	3179
373	9364	3154
374	9388	3129
375	9411	3103
376	9436	3078
377	9459	3053
378	9482	3027
379	9508	3002
380	9533	2977
381	9559	2952
382	9583	2927
383	9608	2902
384	9632	2877
385	9657	2852
386	9683	2827
387	9710	2802
388	9737	2778
389	9761	2753
390	9786	2728
391	9811	2703
392	9836	2678
393	9862	2653
394	9888	2628
395	9913	2603
396	9940	2579
397	9964	2553
398	9989	2528
399	10013	2503
400	10038	2478
401	10062	2453
402	10085	2427
403	10108	2402
404	10131	2376
405	10156	2351
406	10181	2326
407	10205	2301
408	10229	2276
409	10253	2250
410	10279	2225
411	10304	2200
412	10328	2175
413	10352	2150
414	10375	2125
415	10400	2100
416	10424	2074
417	10450	2050
418	10475	2025
419	10498	1999
420	10525	1975
421	10550	1950
422	10573	1924
423	10597	1899
424	10621	1874
425	10645	1849
426	10671	1824
427	10695	1799
428	10722	1774
429	10747	1749
430	10772	1724
431	10796	1699
432	10821	1674
433	10847	1649
434	10871	1624
435	10895	1599
436	10920	1574
437	10945	1549
438	10968	1524
439	10993	1499
440	11017	1473
441	11043	1449
442	11070	1424
443	11094	1399
444	11119	1374
445	11145	1349
446	11170	1324
447	11195	1299
448	11218	1274
449	11244	1249
450	11267	1224
451	11293	1199
452	11317	1174
453	11343	1149
454	11369	1124
455	11395	1099
456	11419	1074
457	11445	1049
458	11470	1024
459	11496	999
460	11524	974
461	11548	949
462	11571	924
463	11598	899
464	11622	874
465	11646	849
466	11671	824
467	11697	799
468	11721	774
469	11748	749
470	11772	724
471	11795	699
472	11819	674
473	11845	649
474	11871	624
475	11895	599
476	11922	574
477	11945	549
478	11970	524
479	11995	499
480	12018	474
481	12042	449
482	12066	424
483	12090	399
484	12116	374
485	12139	349
486	12166	324
487	12191	299
488	12217	274
489	12241	249
490	12266	224
491	12291	199
492	12315	174
493	12339	149
494	12361	124
495	12388	99
496	12414	74
497	12438	49
498	12463	24
499	12490	0
